Store;store9;1.7399797769999318E7
Product;Quantity;Price;Profit
p10;2963;674446.6199999958;438583.26
p12;3029;335529.0699999995;200580.38
p11;3199;1049692.2300000088;689384.5
p14;3306;793462.020000008;414175.68
p13;3349;394524.1299999991;170497.59
p16;3129;1071651.2099999955;632589.93
p15;2682;1092534.7800000003;592587.9
p18;3128;1491244.7499999865;828607.2
p17;3283;620769.310000001;148260.28
p19;3362;738074.1000000009;398161.66
p21;2967;1358186.5400000063;809278.92
p20;3192;733196.7300000014;410140.08
p23;3392;920034.7900000004;570229.12
p22;3006;988541.1499999964;495328.68
p25;3121;524520.8399999983;199587.95
p24;3209;1062230.2900000035;464631.11
p27;3028;568338.7900000005;377076.84
p26;3170;235123.13999999996;153047.6
p29;2951;702842.3900000023;379734.68
p28;3277;499804.3700000007;244529.74
p0;3006;983003.37;378214.92
p1;3036;530557.850000002;223206.72
p2;3124;1294387.860000003;632578.76
p3;3117;839487.6800000005;511593.21
p4;3445;83394.27000000021;51537.2
p5;2825;324438.7200000006;209586.75
p6;3321;608543.8699999987;381416.85
p7;2931;789070.8499999975;387536.82
p8;3132;1499731.110000002;496014.84
p9;3222;286914.79999999993;150692.94
p30;3087;616381.2900000005;364420.35
p32;3307;126713.16000000025;76391.7
p31;3043;678426.7200000004;259233.17
p34;3017;1342120.5199999989;455325.64
p33;3156;129039.63000000107;44720.52
p36;3308;820976.4399999998;360075.8
p35;3284;1545267.9900000026;408463.92
p38;3013;903781.4499999997;435077.2
p37;2959;536864.5099999958;190648.37
p39;3043;498605.5799999981;175702.82
p41;3168;89351.14;24456.96
p40;2991;34559.50000000017;9062.73
p43;3099;625971.2299999967;248105.94
p42;3026;687547.5800000002;270070.5
p45;2994;612392.759999999;399369.66
p44;3073;486886.120000004;264400.92
p47;2787;864344.7500000022;209303.7
p46;2979;347951.12999999936;194469.12
p49;3035;396472.27000000153;260433.35
p48;3127;1083342.0399999972;710673.29
